Years of Experience,Education Level,Age,Location Factor,Salary
39,3,60,8,148829
28,3,48,9,130815
-1,4,18,4,72166
27,4,50,1,127025
42,2,62,1,141495
20,3,36,10,121401
15,1,39,4,92810
7,4,28,7,95216
25,1,43,2,102356
32,1,52,3,125839
27,3,46,1,130906
46,3,71,5,165729
21,4,40,1,98734
1,3,23,8,85204
21,3,41,1,104986
-5,3,15,1,67828
18,1,34,2,94581
37,4,56,2,138576
22,2,43,6,102676
17,1,41,7,107198
38,3,58,5,154029
18,1,37,1,103630
31,3,52,1,128554
19,3,41,3,107217
21,1,43,2,98086
8,4,27,5,90208
16,3,35,10,110037
8,4,26,6,96087
17,2,39,7,100280
24,3,43,4,110653
7,4,28,7,95299
39,4,60,8,155669
22,2,42,1,89302
20,4,40,6,121762
28,4,47,8,132459
8,2,31,5,86808
19,3,41,4,112189
14,4,32,2,102417
34,4,55,6,159484
9,4,29,6,96309
22,1,40,1,99071
23,2,43,9,122918
24,1,43,6,111722
15,2,34,3,100302
6,3,31,4,76655
13,3,34,4,90739
25,4,45,3,128329
20,2,38,10,109175
27,3,47,3,126545
22,2,44,3,110350
-4,3,17,4,59527
23,1,42,7,113335
41,3,62,4,146827
32,1,53,9,127500
25,3,44,1,115314
3,4,29,8,88394
28,1,44,7,119981
25,3,47,2,120165
17,4,37,8,117942
19,1,43,1,102146
34,4,55,9,151023
13,2,31,9,105472
5,2,29,2,77603
28,1,46,7,132969
23,3,44,10,125363
30,1,50,3,117398
26,4,45,7,138788
14,3,34,10,109927
22,2,44,9,123908
7,3,28,4,88583
14,2,37,1,78966
25,3,45,2,119881
19,3,36,1,106056
40,3,64,5,153165
0,4,21,5,76838
13,4,34,7,98539
10,1,30,9,92870
13,1,32,9,96368
12,2,33,3,94009
5,4,26,3,76806
29,2,47,3,125035
15,1,34,4,89826
22,2,41,8,116718
15,1,35,6,92884
14,4,33,8,112718
34,3,56,1,133685
27,4,49,8,130740
2,2,21,4,70432
-3,2,20,1,54429
30,4,50,8,141583
13,4,34,4,86060
0,1,23,6,67413
28,2,50,8,126426
20,2,41,4,99259
24,4,42,3,127112
26,3,48,9,133681
8,2,26,3,78863
3,3,23,9,78739
37,4,55,2,147890
3,4,25,2,79615
6,1,27,2,74621
9,2,29,6,84781
39,3,60,3,153474
25,1,44,9,115798
24,2,49,4,107270
25,1,41,1,100838
14,4,33,4,103687
25,2,46,1,111172
2,1,24,5,68139
7,1,29,4,74548
28,3,47,8,137886
7,1,26,8,79694
17,2,38,7,94518
20,2,38,3,103894
12,3,34,1,80466
-2,2,20,1,58856
16,4,33,3,111785
12,2,31,6,88068
23,2,41,7,123592
19,1,41,6,106214
21,1,43,6,112032
12,2,33,6,93947
23,3,45,3,110536
5,1,24,6,77904
0,3,21,8,73876
-6,2,16,2,51589
15,2,35,5,96643
9,4,32,1,95123
23,1,47,1,106151
13,2,33,5,93097
18,4,42,3,100741
29,1,48,4,115823
10,2,33,3,88021
17,2,42,1,96900
29,1,50,1,106983
7,1,27,5,67467
20,1,40,6,104977
13,2,33,3,85214
5,2,28,9,78696
5,4,24,5,90863
9,3,28,8,101011
17,1,40,1,86746
2,2,23,5,71276
13,2,34,3,90128
28,1,48,1,111678
23,3,44,4,117202
13,1,34,5,92282
37,3,56,7,146130
35,2,58,1,123873
21,3,40,3,119950
-2,4,15,2,74447
31,2,48,9,129981
-7,4,17,10,71678
33,1,54,6,135053
26,1,50,10,125745
32,1,57,3,125810
22,3,42,8,120148
15,2,36,8,110636
15,1,35,2,89104
14,1,34,6,89425
31,2,49,7,136855
27,1,47,2,112480
26,4,41,10,138748
12,2,32,2,88015
49,2,66,10,175483
24,2,49,1,104607
6,4,24,8,86744
13,2,34,1,94670
25,4,49,9,134747
12,2,32,6,96854
22,3,43,7,110701
30,1,49,10,135333
-11,3,6,7,50892
15,1,38,10,95968
21,4,39,3,116183
15,3,35,2,93110
25,2,43,9,123491
25,1,46,8,116318
20,1,41,10,115301
16,3,36,7,115066
26,4,46,9,142907
18,3,40,4,95677
16,4,37,4,103324
3,4,26,1,66125
3,1,24,8,67032
7,3,26,3,80252
21,3,42,7,119552
21,4,39,2,112400
4,3,25,2,73539
23,2,46,7,117408
34,2,53,6,128453
12,3,34,3,89307
1,3,22,9,77982
14,4,32,10,111987
25,2,48,6,119384
25,2,45,10,132503
9,1,30,10,92541
36,4,55,6,147153
34,1,53,1,123193
12,2,32,4,88352
11,4,32,10,104429
14,3,34,6,103362
16,4,34,6,101701
28,3,49,5,132903
23,3,44,1,120967
28,4,48,8,136650
26,3,46,5,123053
34,1,57,5,131285
9,2,29,7,93596
20,3,43,4,109378
-1,1,18,6,66669
4,3,26,4,81442
19,2,39,3,114308
24,1,44,7,111856
22,2,38,8,106119
15,2,34,4,88835
18,1,36,2,94059
36,1,53,10,147139
16,1,36,3,88237
37,4,57,1,144345
24,1,47,8,118424
23,1,44,3,100673
6,1,28,10,78943
28,1,49,7,115661
18,3,35,10,121891
8,4,28,5,101208
23,2,45,10,113102
8,1,26,5,77789
13,3,32,7,108536
21,3,39,9,122493
37,3,62,5,144053
16,2,33,1,85769
13,1,35,10,101764
28,4,47,10,142802
12,4,27,1,88135
28,3,44,2,129949
30,2,52,6,120997
13,2,36,9,98397
32,2,50,8,134676
22,4,42,5,129591
10,3,32,1,85194
19,1,38,7,102176
15,4,36,5,100684
20,3,39,6,110798
21,3,41,7,113413
26,1,45,3,107673
23,1,45,10,116031
-2,1,15,3,43329
20,2,39,5,99948
5,1,24,6,73444
14,3,37,9,107106
21,1,38,5,103332
28,3,49,1,122296
20,4,39,4,113954
21,2,42,5,109407
27,4,47,10,141170
32,4,52,10,151135
12,3,38,5,93055
21,4,40,7,127075
23,3,40,4,117785
15,1,34,1,92661
10,1,32,5,89664
-1,3,17,7,66286
11,1,29,10,87704
3,2,22,10,85067
31,4,52,6,132675
20,2,41,5,114600
17,4,38,4,108280
13,1,32,2,86875
17,2,40,4,99418
10,1,31,10,83038
24,4,41,10,138277
25,3,42,3,133253
8,3,31,10,93424
8,2,31,1,75888
28,1,49,8,109754
20,1,39,5,109257
8,2,32,4,86558
15,3,36,8,98333
8,4,29,7,86175
21,2,39,2,95253
24,4,48,1,122725
19,3,39,4,112724
42,1,63,8,146383
26,3,44,2,122496
23,2,42,3,111294
8,1,30,1,70663
18,2,37,1,102350
11,2,32,3,80475
0,3,18,5,78237
28,2,49,3,116857
16,3,34,1,107407
12,1,32,1,75473
28,3,42,8,131242
24,1,45,10,118292
16,3,36,2,100261
18,4,39,3,112954
27,4,47,2,120571
10,2,36,3,84313
23,3,43,7,122190
5,3,23,1,73861
7,1,27,10,86020
23,2,46,8,111268
5,3,27,10,88367
17,2,42,10,105234
19,4,38,10,121382
13,3,36,2,101235
10,3,31,3,96832
28,2,49,9,135852
39,3,57,7,151188
23,2,43,4,116538
24,3,43,10,128561
14,1,33,5,90727
10,2,28,2,82613
18,3,39,8,121792
13,4,30,4,108829
-1,3,22,9,80224
29,4,48,5,134648
26,4,48,9,135697
10,1,31,4,83652
23,2,42,10,118391
31,3,50,5,139191
23,1,42,9,109893
5,3,28,8,88959
19,4,37,3,101051
31,2,53,1,120746
20,3,42,3,119888
26,3,45,4,128180
22,4,43,2,124677
11,3,31,1,85163
8,3,33,7,92018
23,4,43,8,134409
28,1,48,7,124665
28,4,50,5,136042
6,1,31,1,76652
23,2,44,7,111297
30,1,51,7,124578
9,1,30,9,77729
30,2,54,3,119024
39,1,56,9,151870
44,4,66,1,154913
21,1,42,1,102177
17,2,42,4,108292
31,4,48,9,144610
26,2,47,6,123599
31,2,51,3,130216
29,3,47,1,118392
16,3,38,4,99917
33,2,52,9,134481
4,2,29,3,69816
21,2,40,9,119080
38,3,55,7,148524
5,3,27,4,80824
15,1,33,3,84287
29,1,46,10,134132
22,2,43,5,108774
10,4,31,5,105114
13,4,35,3,100804
6,3,28,9,83465
27,3,49,4,124144
15,3,37,5,97186
39,2,57,4,146946
18,4,40,5,112193
17,1,37,7,100316
16,2,36,9,103653
19,1,37,7,100723
19,1,41,5,95631
45,2,65,10,169181
17,1,36,10,103134
18,4,36,7,114926
18,1,40,10,105008
28,4,50,5,130105
2,4,25,3,76943
28,4,44,7,137528
13,3,31,2,88829
24,1,45,9,112053
18,2,35,10,117891
-4,2,16,10,65186
24,1,43,1,101742
23,3,43,6,113280
14,3,34,7,107753
13,4,33,8,102720
5,1,26,10,79923
29,1,47,9,117959
29,2,48,2,125090
13,1,31,10,101884
14,3,34,2,98422
17,1,39,5,88827
45,2,62,5,161693
24,4,45,6,122863
10,2,30,3,78645
24,2,43,8,118082
6,4,26,1,81483
28,2,47,6,122474
38,2,56,4,148368
35,1,56,1,136559
30,1,47,7,118654
13,4,34,9,106055
6,1,26,4,73713
4,1,25,4,67056
-10,2,11,6,50996
28,3,46,3,130079
24,1,38,6,115746
28,3,49,7,134548
36,1,54,10,150295
19,1,40,10,100055
20,4,41,3,121900
18,4,35,7,114435
13,4,36,3,104425
24,3,47,2,110851
17,2,38,10,104457
17,1,36,4,98310
19,1,39,8,95356
28,1,48,9,129447
13,3,33,7,107799
20,4,39,1,112388
16,2,42,3,97208
29,3,51,9,132331
16,4,37,1,106872
13,3,32,9,106238
17,2,35,8,101392
28,4,50,1,125542
42,3,60,6,157203
5,2,26,5,75535
8,1,29,6,73185
19,2,38,10,116495
20,1,41,5,101282
29,3,47,6,132076
10,4,31,5,94608
8,4,29,5,95876
23,3,41,4,117993
15,4,37,3,110563
29,4,49,3,134902
20,1,44,4,99986
28,3,45,9,130801
20,2,38,2,107329
48,1,63,9,163087
13,3,31,1,91641
23,1,46,1,101640
8,2,27,5,81491
7,2,29,6,82227
16,3,33,6,115631
33,2,56,3,125260
19,1,42,7,99427
10,2,34,9,100421
22,1,43,10,112125
18,1,40,8,100746
12,2,35,6,98174
9,3,26,8,87899
35,4,54,5,151607
22,2,42,8,116228
44,1,61,10,160324
29,1,49,4,121230
23,2,45,10,117860
11,3,35,8,104255
7,3,29,10,91249
20,1,37,2,100044
5,1,28,5,78688
26,3,46,9,137394
38,4,56,4,150664
17,2,37,6,105315
29,1,49,1,112702
14,1,33,9,109018
16,3,36,1,102400
14,2,31,5,95920
-4,3,18,4,64562
19,2,39,3,104535
17,2,41,6,105183
25,2,50,2,111800
26,1,47,3,109528
29,4,48,5,134740
13,3,30,9,98801
28,4,44,2,132591
37,3,55,10,149991
24,2,43,8,114700
38,1,58,2,133928
36,4,60,5,148849
16,1,37,7,98748
15,3,33,8,104158
13,1,32,1,80537
1,1,24,6,69460
15,4,34,1,104656
33,2,52,2,131947
-2,1,17,1,52669
8,2,29,5,84344
19,3,38,10,119152
12,1,31,9,89219
12,4,34,6,110370
14,3,34,1,101157
16,3,37,1,102471
9,4,32,2,88870
9,1,31,9,89195
25,1,49,3,114391
31,3,50,1,122384
6,1,26,5,82972
-8,2,12,7,45803
32,4,50,6,146523
7,2,27,1,82766
19,1,42,5,99934
3,3,24,5,77747
35,4,52,6,152338
43,1,65,3,154759
21,1,41,5,103094
20,3,39,7,111595
17,3,36,5,104381
31,2,47,5,121737
22,4,45,5,125988
27,4,50,10,136429
10,3,33,10,98958
22,2,43,3,113048
16,4,34,1,101615
6,3,29,5,88295
21,1,39,9,105309
10,4,30,1,96293
28,2,51,3,122209
7,2,31,4,79557
19,2,43,1,100154
11,1,33,1,72066
21,4,42,8,124540
16,4,34,2,104291
8,1,27,8,76702
22,4,44,7,121144
17,1,37,10,103353
25,1,42,10,116963
18,1,35,2,81939
5,2,26,6,84381
31,4,50,6,140289
29,1,47,3,106130
10,4,34,2,103674
18,2,40,1,103706
34,1,50,6,130255
14,3,35,5,96287
10,2,36,9,95515
21,3,42,1,109511
17,4,35,7,117210
28,4,48,5,129301
19,2,38,5,110988
13,4,32,2,96632
25,3,46,3,122903
6,1,28,7,73515
40,1,60,6,157240
35,1,55,2,131477
25,2,45,6,133421
24,4,44,2,125138
21,3,43,2,107192
16,4,35,2,109146
23,4,42,3,125002
7,4,30,2,88866
24,1,45,4,112151
28,3,48,9,138308
14,3,36,6,97031
15,4,34,1,96175
6,1,27,8,75028
34,1,54,7,134137
13,3,34,10,104884
14,1,38,3,82622
18,1,43,1,96376
23,1,42,5,109915
27,2,47,4,120844
16,4,36,10,115710
8,3,28,8,91108
6,3,26,1,74293
15,2,34,10,109668
10,4,30,1,87982
18,3,36,4,108046
33,1,53,8,141310
15,3,36,5,100838
16,1,36,2,94803
17,2,39,6,105843
14,1,35,5,92057
19,3,39,2,108151
25,3,45,3,119025
27,3,48,9,132673
27,2,50,7,121759
41,2,60,7,152707
26,4,45,6,128073
45,3,62,8,172028
12,1,32,4,76502
40,2,60,8,154405
13,3,36,4,98682
19,3,37,8,116230
18,2,38,9,114622
17,4,37,3,107069
19,2,40,3,103777
13,2,34,2,80417
29,1,48,10,125923
11,1,34,3,85778
29,4,46,3,125804
37,3,55,5,147298
15,2,36,5,94112
25,4,47,2,122445
20,1,45,10,106911
39,2,62,6,140764
15,3,34,5,104430
27,1,47,6,117752
3,1,23,1,65563
11,1,35,5,88472
22,4,43,9,133626
35,3,53,10,150667
6,2,27,2,81343
24,4,47,1,114621
18,4,39,10,125544
2,4,24,9,89796
21,1,41,10,113165
37,3,57,9,154723
9,4,28,9,96696
15,2,38,6,93016
9,3,30,8,103549
17,2,35,1,94656
31,3,54,10,141085
14,2,37,4,88488
34,1,54,1,117091
31,4,51,8,143558
15,2,36,1,89792
13,3,34,3,95508
12,4,31,4,100435
11,4,30,8,116447
20,3,43,6,112307
19,2,39,10,120899
16,1,33,7,105710
3,1,24,8,76768
18,2,41,2,97824
12,4,35,10,102192
17,4,38,8,118389
25,4,43,3,129594
-6,4,14,7,77238
4,2,24,3,67750
40,4,62,7,159282
15,3,34,2,93280
-8,4,14,10,65832
3,1,25,6,73321
45,4,64,3,161103
7,2,32,3,74378
31,1,51,9,134484
18,2,41,7,108753
15,2,35,5,99250
26,1,47,10,118735
0,2,16,7,76965
4,2,25,9,81572
18,4,35,1,119400
7,3,26,7,90305
12,2,34,6,81333
28,2,48,10,119110
20,2,41,9,116619
33,4,53,1,144002
19,3,41,4,105080
32,1,49,9,143004
20,4,39,4,124314
14,4,34,10,114052
37,3,54,3,146197
12,3,32,9,106972
25,4,43,2,132449
27,1,47,4,118410
28,4,48,6,135939
7,3,28,2,85361
30,1,50,8,129686
10,3,30,8,101622
26,1,48,1,100649
24,2,45,3,114079
27,3,48,10,136302
7,3,27,9,92135
24,4,45,5,129420
32,3,50,6,147605
22,3,41,4,115691
10,2,31,10,98458
31,3,49,2,138031
24,2,41,8,120807
-1,2,23,6,62557
12,2,31,5,94578
12,2,34,9,86491
36,1,55,1,117008
35,4,53,5,149165
31,1,53,6,114275
18,3,42,5,101924
30,1,49,6,122099
8,1,28,6,76392
16,3,40,7,106760
29,3,44,4,134564
10,3,29,8,98192
23,1,42,7,107303
38,1,56,9,151272
23,3,45,7,114355
29,4,49,3,133609
-7,4,15,3,52799
33,2,55,8,139261
18,3,38,5,106906
8,2,32,4,87411
16,4,38,8,117603
3,2,25,6,72064
30,3,50,2,124105
17,3,36,4,103424
13,3,32,4,106377
19,1,38,6,110095
33,2,51,6,130158
22,4,41,1,119501
8,4,25,8,89342
24,4,44,6,124763
9,1,30,3,72862
0,1,18,9,73846
33,3,54,2,127546
27,4,44,8,138146
21,1,39,10,112003
17,3,36,3,102622
33,4,53,5,151857
49,2,70,6,175798
25,3,44,10,129278
6,1,29,6,74270
21,1,38,4,95465
23,3,44,3,115478
-3,3,16,4,74766
21,1,43,1,97856
25,2,44,4,119643
32,4,53,1,128512
33,2,52,1,125326
22,3,41,10,126312
33,2,55,6,135529
37,1,60,5,140623
23,3,40,4,113986
23,4,44,3,111750
2,1,22,1,66110
5,1,25,6,69319
8,4,31,2,91533
15,4,35,8,114254
9,2,29,10,84681
17,3,39,5,111745
12,4,35,7,101667
31,4,50,10,147275
17,3,35,2,100209
-2,4,17,8,86112
18,4,41,2,115717
16,2,39,4,88938
10,1,31,1,87794
23,1,40,5,105108
8,1,29,9,95012
22,1,43,1,99218
42,4,66,9,165795
0,3,21,8,75763
11,3,34,6,93996
10,2,33,7,103121
15,2,35,3,94118
29,4,50,1,127988
28,3,45,5,128885
30,3,48,2,123163
18,1,40,5,106485
4,4,26,8,82644
10,4,28,9,100429
30,1,47,2,122683
16,4,41,3,106711
32,4,52,3,141246
21,2,42,1,111165
9,3,28,8,100019
17,4,34,6,113687
24,2,45,8,130446
22,3,47,9,119358
29,1,48,5,119998
11,2,29,3,86347
6,2,27,5,78987
16,3,38,5,99153
33,1,54,5,120581
14,2,33,3,94586
23,4,44,10,127832
24,4,44,4,133539
27,4,47,9,137137
35,1,56,10,138742
36,2,55,9,150971
13,4,34,2,101010
-1,1,19,8,64122
14,4,33,8,106796
18,3,40,7,129788
14,2,36,8,101808
36,2,59,3,141922
21,1,40,6,100885
25,1,46,1,103610
19,2,42,7,119061
17,4,36,1,112484
-1,4,20,9,83788
17,3,39,1,98592
51,4,72,1,172329
9,1,27,7,80119
0,1,21,2,52215
40,4,59,5,162119
28,1,47,8,125694
21,2,41,8,117680
35,2,53,3,132815
9,4,31,7,99778
15,2,38,3,92339
26,2,49,6,117363
40,3,61,6,162335
6,3,28,3,82107
32,2,52,7,137037
23,4,43,3,124678
23,3,41,8,123670
19,1,39,10,109203
5,1,26,4,65566
29,1,49,1,110019
9,4,32,4,89260
8,2,29,7,89527
28,1,48,4,117354
27,4,47,6,128519
20,3,40,9,121400
28,2,50,1,120217
36,3,54,5,141025
36,4,53,7,152360
10,1,34,1,79235
27,1,50,4,110708
22,4,42,6,125831
36,1,57,2,131505
21,2,38,10,112004
16,4,36,5,110598
15,3,33,10,111828
16,4,41,1,100369
25,2,44,6,116263
22,2,44,6,107957
21,4,43,4,115755
25,4,46,8,131939
14,1,37,4,86277
11,2,31,8,86575
10,4,30,8,98557
29,4,49,5,133413
25,2,44,4,120084
4,4,21,2,83973
29,1,50,3,121681
38,2,58,3,136804
12,1,32,4,85707
23,1,43,4,94884
15,1,35,10,102144
29,1,46,5,123554
7,2,28,4,78241
15,1,39,10,101477
27,1,49,8,113425
33,4,52,6,140994
24,2,44,6,120827
15,2,36,8,104556
1,3,24,7,75440
12,2,32,10,103056
16,2,35,10,107691
13,3,33,8,100478
19,2,40,2,100085
16,2,36,9,103222
